title,lyrics,이별유무,긍부정,cluster_label
Can We Talk Again,우리는 왜 이러는지.너무이해가 안 돼. 미안하단말 한마디.왜 쉽지 않은지.잘됐어 아니 후회해.자꾸 못된 네가떠나질 않아.지금 분명한 건.자기 생각만 했었지사실 네가 그리워.이젠솔직히 네가 보고싶어.이 자리로 다시 돌아왔어요.우리가 다시 얘기할 수 있을까.다시 시도해 볼 수 있다.우리 예전처럼 돌아가.또웃을 수 있다면.다시 사랑을 다시 또.다시 사랑을 다시 또.아무일도 없는 것처럼.네게로 다시 돌아왔어요.네게로 다시 돌아왔어요.생각보다 더 외로워더 괴로워.네존재가 너무나 컸으니까.미련을버리지 못한 난 이 바보야.너와함께 한 시간.차라리잊어버리고 싶어 You. 별일 아닌 것처럼 또 없던 것처럼.태연하게 굴지만.하루하루가 편하지 않아.지금까지 나를 놓지 말아.사실 네가 그리워.이젠 솔직히 네가보고 싶어. 이 자리로 다시 돌아왔어요.우리가 다시 얘기할 수 있을까.다시 시도해 볼 수 있다.우리 예전처럼 돌아가.또웃을 수 있다면.다시 사랑을 다시 또.다시 사랑을 다시 또.아무일도 없는 것처럼.네게로 다시 돌아왔어요.눈 뜨기 싫은 건 내 옆에 네가 없으니까.내 일상을 지워버린 네가.다시 또 다시 생각나또다시.멈춰지지가 않아.시간을 되돌려 다시 볼 수 있다면. 지쳐가. 이젠 기억속에 갇혀버린 채. 나오지 못해.나올수 없어 왜. 내 맘이텅 비어만 가. 우리가 다시 얘기할 수 있을까.다시 시도해 볼 수 있다.우리가 다시 얘기할 수 있을까.다시 시도해 볼 수 있을까,1,0,5
Can We Talk Again (Inst.),우리는 왜 이러는지.너무이해가 안 돼. 미안하단말 한마디.왜 쉽지 않은지.잘됐어 아니 후회해.자꾸 못된 네가떠나질 않아.지금 분명한 건.자기 생각만 했었지사실 네가 그리워.이젠솔직히 네가 보고싶어.이 자리로 다시 돌아왔어요.우리가 다시 얘기할 수 있을까.다시 시도해 볼 수 있다.우리 예전처럼 돌아가.또웃을 수 있다면.다시 사랑을 다시 또.다시 사랑을 다시 또.아무일도 없는 것처럼.네게로 다시 돌아왔어요.네게로 다시 돌아왔어요.생각보다 더 외로워더 괴로워.네존재가 너무나 컸으니까.미련을버리지 못한 난 이 바보야.너와함께 한 시간.차라리잊어버리고 싶어 You. 별일 아닌 것처럼 또 없던 것처럼.태연하게 굴지만.하루하루가 편하지 않아.지금까지 나를 놓지 말아.사실 네가 그리워.이젠 솔직히 네가보고 싶어. 이 자리로 다시 돌아왔어요.우리가 다시 얘기할 수 있을까.다시 시도해 볼 수 있다.우리 예전처럼 돌아가.또웃을 수 있다면.다시 사랑을 다시 또.다시 사랑을 다시 또.아무일도 없는 것처럼.네게로 다시 돌아왔어요.눈 뜨기 싫은 건 내 옆에 네가 없으니까.내 일상을 지워버린 네가.다시 또 다시 생각나또다시.멈춰지지가 않아.시간을 되돌려 다시 볼 수 있다면. 지쳐가. 이젠 기억속에 갇혀버린 채. 나오지 못해.나올수 없어 왜. 내 맘이텅 비어만 가. 우리가 다시 얘기할 수 있을까.다시 시도해 볼 수 있다.우리가 다시 얘기할 수 있을까.다시 시도해 볼 수 있을까,1,0,5
우린 부족했어,다가온 너의 코 끝이 내 볼을 찌르니. 빨려들던 그 숨내음. 나도 모르게 네 등 뒤를 휘감은 순간. 꿈 속을 헤매는 것 같았어. 더운 공기 스친 호흡 모두 기억해. 꼭 짙게 배인 향수 같았어. 날 집어삼킨 기분 좋은 설렘까지도. 다 운명 같았던 날. 서툴렀던 우린 그저 서로를 사랑했고. 늘 함께 할 수 있을거라 굳게 믿었지. 그래 우린 부족했어. 찢겨진 달력 장 수 만큼 뜨거워졌고. 어쩐지 끓을수록 넘쳤어. 결국 흘러넘친 맘이 탈이 난걸까. 체했나봐 서로에게. 오래 걷다 마주했던 바람 같기도. 어두운 거리 불빛 같기도. 내가 품은 이상을 늘 꿈꾸게 하던. 도무지 현실같지 않았던 때. 서툴렀던 우린 그저 서로를 사랑했고. 늘 함께 할 수 있을거라 굳게 믿었지. 그래 우린 부족했어. 서툴렀던 우린 그저 서로를 사랑했고. 늘 함께 할 수 있을거라 굳게 믿었지. 그래 우린 부족했어. 완벽하진 않았지만 완연한 사랑. 날 채우기엔 충분했는데. 내게만 허락했던 그 더운 품이. 나는 조금 그리워,1,0,2
다른 마음으로 진다,다르게 흘러버린 우리는. 다른 마음으로 지고. 변하지 않을 것 같던 우리도. 결국은 변했네. 낡은 마음 바랜 추억을 되감는 습관. 아직도 하루가 채워지지 않나봐. 그리운 너의 숨은. 그대로 남아 나를 작게 만들어. 유난했던 사랑이 끝나니. 길을 잃은 것만 같아. 멈췄던 시간을 다시 배로 살아야겠지. 언제쯤 너를 덜어낼 수 있을까. 그리운 너의 숨은 그대로 남아. 나를 작게 만들어. 유난했던 사랑이 끝나니. 길을 잃은 것만 같아. 더는 같을 수 없는 맘. 솔직할 수 없는 그리움. 바라는 건 없었는데 함께이면 됐어. 그리운 너의 숨은 그대로 남아. 나를 작게 만들어. 유난했던 사랑이 끝나니. 길을 잃은 것만 같아. 다르게 흘러버린 우리는. 다른 마음으로 지고. 모든 게 변했지만. 난 아직 우리에 멈춰있어,1,0,0
각자의 밤,살을 에우는 익숙함은. 날 막다른 길로 내몰고. 다시 묻지 못하고. 아무말도 하지 못했던. 모두 빈 시간. 그냥 모른 척만이 널 달랠 수 있어서. 내 진심은 숨긴 채. 마치 사랑한 적 없었던 것처럼. 눈을 맞추고. 지나가는 사람 하나 둘. 새다보면 안녕을 나누겠지. 그리고 난 그 때도 웃겠지. 너를 보고 웃겠지. 그저 아닌 척만이 날 지킬 수 있어서. 내 표정은 지우고. 더는 마주할 일 없다는 것처럼. 손을 흔들고. 스쳐가는 사람 셋 넷 새다보면. 내 곁을 떠나겠지. 그러면 난 그 때는 울겠지. 너를 못 봐 울겠지. 뜬 달이 너무 환해서 과히 빛나. 나를 꿰뚫는 것 같아. 그제야 무너져내려. 너의 밤엔 내가 없구나,1,0,1
내가 사랑한 것들이 날 떠났어요,평소와 다를 것 없는 날. 공기마저 어제 같은 날. 똑같은 아침 똑같은 밤인데. 떼던 발걸음도 다 똑같은 무겐데. 맘이 비었어요 자꾸만 내가 멈춰서요. 맘이 안보여요 자꾸만 내가 멈춰서요. 내 속이 텅 비었는데. 이게 혹시 내 탓인가요. 내가 사랑한 몇가지를. 잃은 것 같아요. 영원한 건 왜 없나요. 사랑은 왜 끝나나요. 날 떠났어요. 맘이 비었어요 무언가 날 떠났나봐요. 맘이 안보여요 무언가 날 떠났나봐요. 내 속이 텅 비었는데. 이게 혹시 내 탓인가요. 내가 사랑한 몇가지를. 잃은 것 같아요. 영원한 건 왜 없나요. 사랑은 왜 끝나나요. 날 떠났어요. 사랑했던 바람과 구름. 늘 빛나던 나와 더 빛나던 너. 사진 속 남은 만날 수 없는 모든 것. 자꾸만 흐려지는 맘. 내 기억들 시절들 사람들 그 향기들,1,0,4
혼잣말,안녕 잘 지내나요 거기도 많이 춥죠. 감기 조심해요 아프지 말고. 별일은 없나요 요즘도 많이 힘들죠. 조금만 더 힘을 내요 내가 기도할게. 사실 많이 보고 싶었어요. 이런 말 미안해요. 마음속에 두기엔. 너무 커서 이렇게 말해요. 무슨 생각 해요 너무 당황스럽죠. 미안해요 나도 이럴 줄은 몰랐어요. 사실 많이 좋아해요. 이런 말 미안해요. 후회로 남아버릴까 봐 이렇게 말해요,1,0,1
1010,난가끔씩 니생각 하곤해. 내옆 누구든상관없던 나였는데. 몇일째 너와 듣던 음악 나홀로. 아무렇지 않을꺼라고. 지나갈줄알았어. 언제나 내옆엔 항상 너였는데. 그땐 익숙함에 가려져. 널너무 모르고 지나쳐버린나. 바래져가던 우리 나. 그때로 돌아간다면. 놓지않을텐데 니 두손. 꼭잡고 걸을텐데. 제법 춥던 그날 과분한 사랑 주던. 니모습 자꾸만 떠올라서. 넌가끔씩 내생각 하곤하는지. 니옆 누구든상관없을 나였는데. 몇일째 사진속우리들 나홀로. 변하지 않을꺼라던 너. 돌아올줄 알았어. 사람들은 말해 괜찮을거라고. 다른 누군가그빈자릴. 채워져 잊혀질거라 그런데난. 흩어져가던 우리 나. 그때로 돌아간다면. 얼어붙은 마음 두팔벌려. 꼭안아줄텐데. 헤어진 그날속 멈춰있는. 너와나 이제는 멀어져버린. 바래져가던 우리 나. 그때로 돌아간다면. 놓지않을텐데 니손꼭붙잡고. 잃어버린우리 시간들. 속에서 이렇게 기다릴텐데. 난 미안해 아직,1,0,0
그대는 어디에,모든 게 두려운 나였나 봐. 버릇처럼 뒤를 돌아보죠. 사랑은 앞만 보고 달려도. 나는 가질 수 없었죠. 난 바라죠 그때의 그 날로. 함께였던 그대 앞으로. 뒤를 돌아보면 서 있던. 그저 바라보면 좋았던 우리. 어디 있어도 내게 와 주던. 그대는 어디에. 그대는 지금 어디에. 사랑은 주는 게 더 좋은데. 받기만 했던 나였죠. 난 바라죠 그때의 그 날로. 함께였던 그대 앞으로. 뒤를 돌아보면 서 있던. 그저 바라보면 좋았던 우리. 어디 있어도 내게 와 주던. 그대는 어디에. 그대는 지금 어디에. 같은 마음이면 그대도 아프면. 우리 어떻게든 다시 사랑해야 해. 여기 멈춰서면 와줄까. 계속 걷다 보면 그대 있을까. 내가 힘들 때 날 안아 주던. 그대는 어디에. 그대는 어디에,1,0,2
말이 안 되잖아 (Feat. 헤이즈),달라 보였어. 문득 올려본 그 별들이. 이미 사라진 채로 빛나고 있는 외로움. 달리 불었어. 가슴 가득 품던 바람도. 전부 지나갈 뿐이라고. 여긴 아무것도 없다고. 무슨 말을 할까. 누가 먼저 말할까. 어쩌면 모든 게. 계절 탓은 아닐까. 내가 느끼는 걸 너도 느끼는 걸. 모를리 없는 슬픈 우리. 말이 안 되잖아. 어울리질 않잖아. 우리와 이별을. 한 줄에 쓴다는 게. 깜박이던 별 하나가 보이질 않아. 애틋했던 이름도 체온도 입술도. 별수 없었어. 설렘 뒤의 텅 빈 시간을. 특별하지 못한걸. 인정하기 싫은데. 참 고마웠다고. 말하려다 삼킨 순간들. 끝내기엔 아쉽고. 머물 이유도 없는. 초라한 틈에 선 두 사람. 무슨 말을 할까. 누가 먼저 말할까. 어쩌면 모든 게. 계절 탓은 아닐까. 내가 느끼는 걸 너도 느끼는 걸. 모를리 없는 슬픈 우리. 말이 안 되잖아. 어울리질 않잖아. 우리와 이별을. 한 줄에 쓴다는 게. 깜박이던 별 하나가 보이질 않아. 애틋했던 이름도 체온도 입술도. 결국 서롤 떠올리겠지. 다른 사랑 하기 쉽지 않겠지. 많이 그리워하고. 실컷 울어보기도 하면. 다시 돌아올 수 있을까. 말이 안 되잖아. 어울리질 않잖아. 우리와 이별을. 한 줄에 쓴다는 게. 어쩌면 오래전 끝나버린 얘기. 아무리 애써 이어봐도. 말이 안 되잖아. 설득력이 없잖아. 우리와 이별은. 앞뒤가 안 맞잖아. 헝클어진 발걸음을 맞춰보아도. 멀어져가잖아. 말이 안 되잖아. 빛을 잃은 새벽달은 애써보아도. 사라져가잖아,1,0,5
말이 안 되잖아 (Inst.),달라 보였어. 문득 올려본 그 별들이. 이미 사라진 채로 빛나고 있는 외로움. 달리 불었어. 가슴 가득 품던 바람도. 전부 지나갈 뿐이라고. 여긴 아무것도 없다고. 무슨 말을 할까. 누가 먼저 말할까. 어쩌면 모든 게. 계절 탓은 아닐까. 내가 느끼는 걸 너도 느끼는 걸. 모를리 없는 슬픈 우리. 말이 안 되잖아. 어울리질 않잖아. 우리와 이별을. 한 줄에 쓴다는 게. 깜박이던 별 하나가 보이질 않아. 애틋했던 이름도 체온도 입술도. 별수 없었어. 설렘 뒤의 텅 빈 시간을. 특별하지 못한걸. 인정하기 싫은데. 참 고마웠다고. 말하려다 삼킨 순간들. 끝내기엔 아쉽고. 머물 이유도 없는. 초라한 틈에 선 두 사람. 무슨 말을 할까. 누가 먼저 말할까. 어쩌면 모든 게. 계절 탓은 아닐까. 내가 느끼는 걸 너도 느끼는 걸. 모를리 없는 슬픈 우리. 말이 안 되잖아. 어울리질 않잖아. 우리와 이별을. 한 줄에 쓴다는 게. 깜박이던 별 하나가 보이질 않아. 애틋했던 이름도 체온도 입술도. 결국 서롤 떠올리겠지. 다른 사랑 하기 쉽지 않겠지. 많이 그리워하고. 실컷 울어보기도 하면. 다시 돌아올 수 있을까. 말이 안 되잖아. 어울리질 않잖아. 우리와 이별을. 한 줄에 쓴다는 게. 어쩌면 오래전 끝나버린 얘기. 아무리 애써 이어봐도. 말이 안 되잖아. 설득력이 없잖아. 우리와 이별은. 앞뒤가 안 맞잖아. 헝클어진 발걸음을 맞춰보아도. 멀어져가잖아. 말이 안 되잖아. 빛을 잃은 새벽달은 애써보아도. 사라져가잖아,1,0,5
이별자리,어느새 해는 저물어가고. 하루가 어떻게 지난 건지. 괜스레 초조해지고 복잡한 맘에. 난 다시 혼자가 돼. 오늘은 약속도 없는 날. 갈 곳도 정하지 못했는데. 문득 떠오르는 사람 그게 너라서. 애꿎은 하늘만 본다. 어제와 같은 자리에 난 여기 멈춰서 있어. 오늘도 같은 자리에 하루를 버티고 있어. 혼자 걷는 퇴근길에 추억이 또 밀려와. 우리가 함께 했던 이 곳으로. 무작정 버스를 타고. 어디로 가는 지도 난 모른 체. 옆자릴 바라보다 네가 없단 생각에. 쓸쓸히 창밖을 본다. 어제와 같은 자리에 난 여기 멈춰서 있어. 오늘도 같은 자리에 하루를 버티고 있어. 혼자 걷는 퇴근길에 추억이 또 밀려와. 우리 사랑했던 이 곳으로. 햇살이 내리면 다시 가려진 너의 자리. 잠시라도 널 잊을 수 있었는데. 어두운 발걸음 밤하늘 별빛처럼. 내 맘에 넌 자꾸 떠오르네 여전히 넌. 이젠 같은 자리에 돌아갈 순 없는 거니. 이미 넌 다른 곳으로 날 두고 가버렸잖아. 그리움에 돌고 돌아 다시 널 찾아왔어. 우리가 사랑했던 이별자리,1,0,4
이별자리 (Inst.),어느새 해는 저물어가고. 하루가 어떻게 지난 건지. 괜스레 초조해지고 복잡한 맘에. 난 다시 혼자가 돼. 오늘은 약속도 없는 날. 갈 곳도 정하지 못했는데. 문득 떠오르는 사람 그게 너라서. 애꿎은 하늘만 본다. 어제와 같은 자리에 난 여기 멈춰서 있어. 오늘도 같은 자리에 하루를 버티고 있어. 혼자 걷는 퇴근길에 추억이 또 밀려와. 우리가 함께 했던 이 곳으로. 무작정 버스를 타고. 어디로 가는 지도 난 모른 체. 옆자릴 바라보다 네가 없단 생각에. 쓸쓸히 창밖을 본다. 어제와 같은 자리에 난 여기 멈춰서 있어. 오늘도 같은 자리에 하루를 버티고 있어. 혼자 걷는 퇴근길에 추억이 또 밀려와. 우리 사랑했던 이 곳으로. 햇살이 내리면 다시 가려진 너의 자리. 잠시라도 널 잊을 수 있었는데. 어두운 발걸음 밤하늘 별빛처럼. 내 맘에 넌 자꾸 떠오르네 여전히 넌. 이젠 같은 자리에 돌아갈 순 없는 거니. 이미 넌 다른 곳으로 날 두고 가버렸잖아. 그리움에 돌고 돌아 다시 널 찾아왔어. 우리가 사랑했던 이별자리,1,0,4
바람불면 생각이 많이 나 (feat. DJ Deborah),바람불면생각이 많이 나. 서로 안아주었던그때 그 시간. 내 손잡고어디든 걸었던.너의 따뜻한 품그리워 그리워져.내 손을 잡던 감촉 나 생생한데.추운날 특히 그대 생각에 나 허무해.그걸 증명해 심장이얼어버린 내.나는 있지만 내가u. 널정리가 안돼 잊지못해스럽거든요-.남은추억만 나 붙잡고.나홀로생각에 갇혀버린 너란감옥.그리워그리워 너의 온기가.영원히 너 그저 바램만.바람불면생각이 많이 나. 서로 안아주었던그때 그 시간. 내 손잡고어디든 걸었던.너의 따뜻한 품그리워 그리워져.친구들이 그냥 잊으래.시간이 약이래.말이 쉽지 그게안돼. 살아남았네.바람만 불어도.니생각에가슴이 시려와 저려와.어쩔수없어. 너란 바닷속에서허우적대는 나. 이미 힘이 너무 빠져 나올수 없어 나. 내손을 한번 더 잡아줘.그때그따스함 아기 한번 더.바람불면생각이 많이 나. 서로 안아주었던그때 그 시간. 내 손잡고어디든 걸었던.너의 따뜻한 품그리워 그리워져.시간가도유독 너 하나.생각이참 많이 난다. 바람불면 생각이많이 나. 서로 안아주었던그때 그 시간. 내 손잡고어디든 걸었던.너의 따뜻한 품 그리워 그리워져,1,0,0
바람불면 생각이 많이 나 (inst.),바람불면생각이 많이 나. 서로 안아주었던그때 그 시간. 내 손잡고어디든 걸었던.너의 따뜻한 품그리워 그리워져.내 손을 잡던 감촉 나 생생한데.추운날 특히 그대 생각에 나 허무해.그걸 증명해 심장이얼어버린 내.나는 있지만 내가u. 널정리가 안돼 잊지못해스럽거든요-.남은추억만 나 붙잡고.나홀로생각에 갇혀버린 너란감옥.그리워그리워 너의 온기가.영원히 너 그저 바램만.바람불면생각이 많이 나. 서로 안아주었던그때 그 시간. 내 손잡고어디든 걸었던.너의 따뜻한 품그리워 그리워져.친구들이 그냥 잊으래.시간이 약이래.말이 쉽지 그게안돼. 살아남았네.바람만 불어도.니생각에가슴이 시려와 저려와.어쩔수없어. 너란 바닷속에서허우적대는 나. 이미 힘이 너무 빠져 나올수 없어 나. 내손을 한번 더 잡아줘.그때그따스함 아기 한번 더.바람불면생각이 많이 나. 서로 안아주었던그때 그 시간. 내 손잡고어디든 걸었던.너의 따뜻한 품그리워 그리워져.시간가도유독 너 하나.생각이참 많이 난다. 바람불면 생각이많이 나. 서로 안아주었던그때 그 시간. 내 손잡고어디든 걸었던.너의 따뜻한 품 그리워 그리워져,1,0,0
"Facetime, Face me",잠들고 싶지 않아. 그저 의미 없는 하루를 보내기 싫은 걸. 잘 거라 말한 뒤. 사실 난 잠들지 않았어. 아니 잘 수 없었어. 다시 일어나 침대에서 나와. 가만히 앉아 있었어. 고요한 밤을 뚫고. 퍼지는 내 슬픈 생각. 이럴 땐 모든 게 의미 없어져. 난 너무 무서워. 껴안았던 모든 게. 아프게 나를 찌르고 도망가버리네. 두 눈을 가리면. 이 모든 생각이 결국엔. 나를 삼키고. 저 멀리 끝이 없는 어두운 곳에. 데려가 버릴 것 같아. 영원히. 조용한 밤을 뚫고 퍼지는 내 슬픈 생각. 두려워 이렇게 넘어질 때마다. 다신 일어서지 못할 까봐. 사랑해 하지만 넌. 절대 날 구할 순 없어. 어려워 모든 걸 풀어내기엔. 엉켜버린 뒤야. 난 너무 무서워,1,0,0
